cohort,cluster,cell_type,n_cells,n_cluster,n_type,expected,ratio_obs_over_exp,log2_enrichment,hypergeom_p,note,is_cand
UOP,17,Myeloid,893,15039,25735,1415.571837693118,0.6308404675917222,-0.6646528847886203,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,18,Myeloid,362,4332,25735,407.7569785814607,0.8877837020947038,-0.1717198709314646,0.9930845919859204,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,19,Myeloid,62,13442,25735,1265.2514556999065,0.0490021171054121,-4.351012108475494,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,0,Tumor,578,10839,75960,3011.361920646068,0.1919397319987343,-2.3812747110022268,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,1,Tumor,12556,13671,75960,3798.1666959269664,3.3058054069782288,1.7250018042884134,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,2,Tumor,205,9996,75960,2777.1541432584268,0.0738165724425631,-3.759911439930564,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,3,Tumor,1302,14377,75960,3994.312236657304,0.3259635008127449,-1.617217664616401,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,4,Tumor,843,16988,75960,4719.717345505618,0.1786123910159053,-2.4850959257546257,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,5,Tumor,483,7302,75960,2028.6894311797755,0.2380847420884494,-2.070452927948417,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,6,Tumor,1554,23452,75960,6515.588132022472,0.2385049466774123,-2.067908906338069,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,7,Tumor,835,20353,75960,5654.603669241573,0.1476672900245889,-2.7595778066691845,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,8,Tumor,2676,8047,75960,2235.670207162921,1.196956506118968,0.259370729936798,4.759675409818506e-28,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,9,Tumor,2225,12945,75960,3596.464624297753,0.618663112927033,-0.692774077395657,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,10,Tumor,16483,17118,75960,4755.834796348315,3.465847891237977,1.79320833904162,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,11,Tumor,10000,13449,75960,3736.489202949438,2.6763090850380062,1.420244741428299,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,12,Tumor,107,12692,75960,3526.1745084269664,0.0303444993276106,-5.042421172865796,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",True
UOP,13,Tumor,2143,24506,75960,6808.417310393258,0.3147574395489308,-1.6676876172655286,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,14,Tumor,1048,6062,75960,1684.184515449438,0.622259610147486,-0.6844114885961846,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,15,Tumor,7985,11933,75960,3315.304160814607,2.4085271253175145,1.268151171938465,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,16,Tumor,518,16865,75960,4685.544680477528,0.1105527820827882,-3.177192763568241,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,17,Tumor,976,15039,75960,4178.2334094101125,0.233591545604388,-2.09794003528992,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,18,Tumor,544,4332,75960,1203.5445926966293,0.4519982087087678,-1.1456110397072936,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,19,Tumor,12899,13442,75960,3734.5444171348313,3.4539688270453626,1.7882550622327864,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,0,Vessel,4720,10839,51665,2048.2097634304773,2.304451469899563,1.2044233858683335,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,1,Vessel,147,13671,51665,2583.363380003512,0.0569025639744882,-4.135362529335302,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,2,Vessel,8325,9996,51665,1888.910858497191,4.407301679986811,2.1398956525320125,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,3,Vessel,4151,14377,51665,2716.7738508017324,1.527915177325128,0.6115644539436067,3.918673527577749e-195,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,4,Vessel,1816,16988,51665,3210.1658327481277,0.5657028622865182,-0.8218836242837574,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,5,Vessel,1121,7302,51665,1379.8346427317415,0.8124161876242569,-0.2997091088567281,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,6,Vessel,5542,23452,51665,4431.646403909176,1.2505510356402478,0.3225639358576734,1.1923913341180408e-79,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,7,Vessel,639,20353,51665,3846.038685773642,0.1661449746627973,-2.589485437961569,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,8,Vessel,1485,8047,51665,1520.614813758193,0.9765786749964832,-0.0341918198944992,0.851787627273282,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,9,Vessel,884,12945,51665,2446.173575754916,0.3613807330606897,-1.4684085036233123,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,10,Vessel,25,17118,51665,3234.731500175562,0.0077286167333032,-7.015574060755422,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,11,Vessel,2646,13449,51665,2541.412778704354,1.0411531814792268,0.0581823432795618,0.0095940038070538,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,12,Vessel,11206,12692,51665,2398.365007607678,4.672349690082314,2.224148253085282,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",True
UOP,13,Vessel,4967,24506,51665,4630.817276743914,1.0725968448257297,0.1011079146171972,6.1369070792832756e-09,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,14,Vessel,670,6062,51665,1145.5159688085207,0.5848892710739628,-0.7737645696664648,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,15,Vessel,1015,11933,51665,2254.939303165964,0.4501229805054738,-1.1516088731655558,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
